,0,1
4404,10899.png,"t = t(\tau) \quad ; \quad r = r(\tau) \quad ; \quad  \theta = \frac{\pi}{2}\quad ; \quad \phi = C_{0} \sigma
"
4405,109.png,"\phi = \sum^q_{i = 0} \phi_i (x, \lambda, \pi) y^q
"
4406,1090.png,"\Delta (h^{1}) = h^{1} \otimes 1 + 1 \otimes h^{1},
"
4407,10900.png,"{\bf Z({\bf x})}=\frac{1}{{\bf x}}+\sum_{q\neq 0}\{\frac{1}{{\bf x-q}}+\frac{1}{{\bf q}}+\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}+\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}+\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}{\bf x}\frac{1}{{\bf q}}\},
"
4408,10901.png,"\omega\mid U_{\pm}=\int_N\frac{-2 i S_{0}}{\left(1+z_{\pm}(\vec{x})\overline{z}_{\pm}(\vec{x})\right)^2}\delta \overline{z}_{\pm}(\vec{x})\wedge \delta z_{\pm}(\vec{x})d\mu(\vec{x})\,.
"
4409,10902.png,"F_{\theta\bar{\psi}_{2}} = 2\sin\theta\cos\theta,
"
4410,10903.png,"L_0 |\Delta \rangle= \Delta | \Delta \rangle, \,\,\,\,\,\,\,\,L_n |\Delta \rangle =0, \,\,\,\,\,\,n>0.
"
4411,10904.png,"{\cal P}(s_a,s_b,\lambda)=\sum_{s'_b}{\cal P}(s_a,s'_b,\lambda)\sum_{s'_a}{\cal P}(s'_a,s_b,\lambda)\,,
"
4412,10905.png,"(T_{ab})_{\rm ext.} = \frac{\pi^3}{16\pi g^2 G_{10}} {\rm diag}\left[4 R'^4, - 4 R'^4, - 4 R'^4\cos^2\theta, - 4 R'^4 \cos^2 \theta \right].
"
4413,10906.png,"ds^2=-dt^2+dx^2_1+\cdots+dx^2_5+H(dy^2_6+\cdots+dy^2_9),\ \ \ e^{2\phi}=H.
"
4414,10907.png,"|\Psi\rangle=|\Psi_g\rangle\otimes|\Psi_m\rangle ,
"
4415,10908.png,"\tilde{m}= \mu (\sqrt{2} - \frac{4}{3} \alpha_{s}).                           
"
4416,10909.png,"\begin{array}{ll}\delta\Psi_\alpha=\displaystyle\frac 18\omega^{mn} (\Gamma_{mn})_\alpha{}^\beta\Psi_\beta, &\Gamma_{mn}\equiv\Gamma_m\tilde\Gamma_n-\Gamma_n\tilde\Gamma_m,\\\delta\chi^\alpha=\displaystyle\frac 18\omega^{mn}(\tilde\Gamma_{mn})^\alpha{}_\beta\chi^\beta, &\tilde\Gamma_{mn}\equiv\tilde\Gamma_m\Gamma_n-\tilde\Gamma_n\Gamma_m,\end{array}
"
4417,1091.png,"  d = 13 -\frac{6}{k+2} - 6(k+2)
"
4418,10910.png,"\psi(x) = e^{-\chi(x)} \varphi(x)
"
4419,10911.png,"1=i\gamma \cdot p S(p)+e^2\int \frac{d^3q}{(2\pi)^3} D_{\mu \nu}(p - q) \gamma_\mu S(q) \Gamma_\nu (q,p) S(p),    
"
4420,10912.png,"\lambda^a \lambda^b ~=~ \frac{4T(R)}{M} \delta^{ab} I + d^{abc} \lambda^c+ i f^{abc} \lambda^c
"
4421,10913.png,"z+{\mu^2\over z}=\widetilde{W}_B(x;u_{1}, \cdots, u_{r}) \equiv {W_{BC}(x;u_{1}, \cdots, u_{r})\over x},
"
4422,10914.png,"K^{-1} = {\rm diag}\, \left( {1 \over \lambda_1},     {1 \over \lambda_2},  {1 \over \lambda_3},  {1 \over \lambda_4}      \right)  \, .
"
4423,10915.png,"ds^2 = d\tau^2 - R^2(\tau)\, \left(\frac{dr^2}{1+\beta^2 r^2} + r^2  d\Omega_{2}^2\right),
"
4424,10916.png,"S_{\hbox{\tiny{Membrane}}} = \int d^3 \sigma \sqrt{h} [ \frac {1}{2} h^{\alpha \beta} \partial_{\alpha} X^M \partial_{\beta} X^N g_{MN} - \frac {1}{2} -i \bar{\theta} \Gamma^{\alpha} \nabla_{\alpha} \theta
"
4425,10917.png,"\Delta'_{N,\infty}=-G_N\;,\qquad\qquad F_{N,\infty}=H_N\;.
"
4426,10918.png,"[\Sigma_v, \Xi_f]_\star= \Xi_f, \,\,\,\,\,\,\,\,\,[\Sigma_w, \chi_f]_\star= \chi_f,
"
4427,10919.png,"U_{i_1\,\,i_2}^{\,\,j_1\,\,j_2}V_{j_1\,\,j_2}^{\,\,p_1\,\,p_2}.
"
4428,1092.png,"K(z,z')=\sum_{(\Gamma)}\frac{1}{(c_\Gamma z+d_\Gamma)^2[g_\Gamma(z)-z']}\,.
"
4429,10920.png,"Tr\{\phi^i \phi^j-\frac{1}{6} \delta_{ij} \phi^k \phi^k\}(x)
"
4430,10921.png,"\left[N,B\right]=-2B\ \ ,\ \ \left[N,B^\dagger\right]=2B^\dagger\ \ ,\ \ \left[B,B^\dagger\right]=4N+2D_G=4N+6\ \ \ .
"
4431,10922.png,"{\bf A}(X)={\rm Sym}(H_0(X) \oplus H_2(X))\otimes \wedge ^* H_1(X).
"
4432,10923.png,"\det\,O=\exp\,{\rm Tr}\,\ln\,O
"
4433,10924.png,"U\rightarrow M^T U M,\quad M=I+\lambda^{\mu} \hat{X}_{\mu}
"
4434,10926.png,"h = m^{2} + \varphi\, ,\quad f = M + \phi\, ,
"
4435,10927.png," g_\alpha=h^{-1}_\alpha \mu h_\alpha
"
4436,10928.png,"H_{\Lambda_0}      =      H_{\rm 0} + V ,
"
4437,10929.png,"S[\phi]=\int d^4x {\cal L} + \int d^4x {\Delta}{\cal L},
"
4438,1093.png,"%ds^2 = { R^2 ( - dt^2 + dx_1^2 + dx_2^2 +dx_3^2 + dz^2)\over z^2}\,,%
"
4439,10930.png,"R \sim  \pmatrix{ 0&\lambda_1& & & & &&\cr-\lambda_1&0& & & & &&\cr & &0&\lambda_2 & & &&\cr & &-\lambda_2&0 & & &&\cr & & & & . & &&\cr& & & & &. &&\cr& & & & && 0 & \lambda_n\cr& & & & & & -\lambda_n & 0\cr} .
"
4440,10931.png,"+3c_{2}^{1}a_{1}^{2}a_{2}^{2}+c_{1}^{0}a_{1}^{2}a_{1}^{1}+c_{1}^{1}a_{2}^{1}a_{2}^{3}+c_{1}^{0}a_{2}^{1}a_{2}^{4}-c_{2}^{0}a_{1}^{2}a_{2}^{3}+c_{2}^{0}a_{1}^{1}a_{2}^{4}-3a_{1}^{0}c_{2}^{2}a_{2}^{3}
"
4441,10932.png,"    \tilde{E}_i^1=E_i^bR_{1b}=\varepsilon_{bac}E_i^b\hat{E}_3^a\hat{\lambda}^c\,,
"
4442,10933.png,"\sum_{n=1}^{\infty} S_{2k,2n} (-1)^n =\oint_0 {dz \over 2\pi i } {1 \over z^{2k-1}} {1 \over 1+z^2} = (-1)^k ,
"
4443,10934.png,"dN\propto l^{1-b}dl\mbox\ ,
"
4444,10935.png,"[x_{i},p_{j}]=i\delta_{ij},\quad[\tilde{p}_{i},\tilde{p}_{j}]=\frac{i\kappa}{4}\,\epsilon_{ij},\quad[x_{i},x_{j}]=[p_{i},p_{j}]=[x_{i},\tilde{p}_{j}]=[p_{i},\tilde{p}_{j}]=0.
"
4445,10936.png,"\left  ( A' e^{n A}\right) '=  {2\pi G_5\over 3} e^{n A}  \left( T_\mu {}^\mu + (2n-4)T_5 {}^5 \right)- {1-n\over 12} W^{n-2} R_g ~. 
"
4446,10937.png,"\pi_i   =    p_i + i\lambda    \sum_j^\prime{1\over(x_i-x_j)}  M_{ij}
"
4447,10938.png,"{\bf P} [\hat{A}, \hat{V}] = [\hat{A}, \hat{V}]
"
4448,10939.png,"\eta = \eta _{0}\lambda x, \qquad\eta_0 = \frac{\Omega \epsilon }{16\pi l_P^2}(\tilde{Q}_0\tilde{Q}_1\tilde{Q}_2)^{2/3}\sum_I\tilde{Q}_I^{-1},
"
4449,1094.png,"\left(  \begin{array}{c}\{M^f_{Aq} \}^{Y^1q}\\\{M^f_{Aq} \}^{Y^2q}  \end{array}\right)=\left(  \begin{array}{cc}0&i\\-i&0  \end{array}\right)  \left(  \begin{array}{c}\{M^b_{Aq} \}^{Y^1q}\\\{M^b_{Aq} \}^{Y^2q}  \end{array}\right).
"
4450,10941.png,"F_2(q^2)={Me^2\over 4\pi^2}\int_0^1d\alpha\,\int_0^1dx\,\,{m-xM\over\alpha (1-\alpha)\, {1-x\over x}\, {\vec q}_{\perp}^2-M^2+{m^2\over x}+{\lambda^2\over 1-x}}\ .
"
4451,10942.png,"{\cal L}_{\rm daughter}=\frac{1}{2}\sum_{i=1}^{2N}\dot{x}_{i}^{2}-\frac{1}{2}\sum_{i=1}^{2N}\left\{-2Ax_{i}^{2}+x_{i}^{6}\right\}    -\frac{1}{2}\sum_{\stackrel{i,j=1}{j\neq i}}^{2N}\frac{1} {(x_{i}-x_{j})^{2}} \,,
"
4452,10943.png,"S[\,G,g,\phi\,]=S_5[\,G\,] + S_4[\,G,g,\phi\,], 
"
4453,10944.png,"\frac{\partial^{{\kern 1pt}2} \xi_i}{\partial{\kern 1pt} t^2}-{\hat c}^{{\kern 1pt}2} \triangle \xi_i =0.
"
4454,10945.png,"L\left( \lambda \right) =\left( L^1\left( \lambda \right),L^1\left( -\lambda \right) \right) ,
"
4455,10946.png,"\Omega(k) = 2(2\pi)^3 m \sqrt{1+r^2}.  
"
4456,10947.png,"\eta_{m\kappa}\left(0\right)+\eta_{-m,\kappa}\left(0\right)=\left(N_\kappa^++N_\kappa^-\right)\pi+\left(-1\right)^l\frac{\pi}{2}\left[\sin^2\eta_{m\kappa}\left(0\right)+\sin^2\eta_{-m,\kappa}\left(0\right)\right]\,,
"
4457,10948.png,"c_{kJ}e^{i\beta kJ} \; = \; \frac{M_k(\mu)}{I(\mu)}  \; ,
"
4458,10949.png,"{\rm Tr}\left[\gamma^0\langle\psi(\vec{x}_0,t)\bar{\psi}(\vec{x}_0,t)\rangle_{\beta}\right]=\frac{\Delta_n}{2\pi}\int_{-\infty}^\infty d\omega\;F_{1/2,n}(\omega).
"
4459,10950.png,"h_{\mu,\nu} \equiv f_{a,b,c}B^a_{\mu,\rho} {^*}(B^b)^{\rho,\sigma}B^c_{\sigma,\nu}
"
4460,10951.png,"tr\gamma_{5} (X\frac{1}{\sqrt{X^{\dagger}X}})
"
4461,10953.png,"g:|\Psi,ab\rangle \to (\gamma_{g,p})_{aa'}|g\Psi,a'b'\rangle(\gamma_{g,q}^{-1})_{b'b},
"
4462,10954.png,"{\cal A}^0_M = - \int d\tau,
"
4463,10955.png,"\begin{array}{c}  \Theta^+_1=\left(\pi_a+iG_{,a}(z,\bar z)\right)\eta^a_1 + i {\bar U}_{,\bar a}({\bar z}){\bar \eta}^{\bar a}_2,\\  \Theta^+_2=\left(\pi_a-iG_{,a}(z,\bar z)\right)\eta^a_2 - i {\bar U}_{,{\bar a}}({\bar z}){\bar \eta}^{\bar a}_1, \end{array}
"
4464,10956.png,"O_1^{(k)} = \left < \sum_i(q_i^{(k)}-6)^2 \right > \;\;\;\; {\rm and} \;\;\;\; O_2^{(k)} = \left < \sum_{<ij>}(q_i^{(k)}-6) (q_j^{(k)}-6) \right >,
"
4465,10958.png,"\zeta_2=\frac{2^{2s-2}\mu^{-1}\Gamma(s+\frac{1}{2})\Gamma(-s)}{\pi\Gamma(s)\Gamma(\frac12-s)} \int dk\ \tilde S(k)\tilde S(-k)\left(\frac{k^2}{\mu^2}\right)^{-s-\frac{1}{2}}\,.
"
4466,10959.png,"z\sim e^{-\frac{\pi}2\frac1{g^2a}} 
"
4467,1096.png,"\begin{array}{lll}\delta r_+&=&\delta\left(M+\sqrt{M^2-a^2-Q^2}\right)\\\\&=&\delta M+{1\over2}\,{\left(M^2-a^2-Q^2\right)}^{-{1\over2}}\,2\left(M\,\delta M-a\,\delta a\right)\\\\&=&\delta M+{\left(r_+-M\right)}^{-1}\left(M\,\delta M-a\,\delta a\right)\;,\\\\a\,\delta a&=&a\,\delta\left(J/M\right)={a\over M}\,\delta J-{a^2\over M}\,\delta M\;.\end{array}
"
4468,10960.png,"E_{n}^{\pm }=\Omega -\lambda _{n}^{\pm }=(n+\frac{1}{2}\pm \frac{1}{2}%)\omega +\frac{p_{z}^{2}}{2m} -\mu,  
"
4469,10961.png,"\Delta\ni s_{\alpha}(\beta)=\beta-(\alpha^{\vee}\cdot\beta)\alpha,    \quad \alpha^{\vee}={2\alpha\over{\alpha^2}},\quad \alpha, \beta\in\Delta.
"
4470,10962.png,"|D\rangle = \sum_I |D\rangle_I \qquad \mbox{with}\quad I=0,1,..., m-1
"
4471,10963.png,"|\,\hat{p}j_{3}\,[wj]^{\pm}\,\rangle=\Omega^{\pm}|\,\hat{p}j_{3}\,[wj]\,\rangle\, .
"
4472,10964.png,"\vec{E} = \frac{g}{4\pi} \frac{\rho}{(\rho^{2}+z^{2})^{\frac{3}{2}}}\hat{e}_{\phi}
"
4473,10965.png,"L_{Landau}=\partial_\mu V\partial_\mu V^* -U(V^*V)
"
4474,10967.png,"[D_{-l}^{j},D_{+l^{\prime}}^{j^{\prime}}]  =  2N \delta_{ll^{\prime}}\delta_{jj^{\prime}}%\\
"
4475,10968.png,"\varphi _{,\,\mu }-\varphi ^{\epsilon }{}_{\mu \,,\epsilon }=0.
"
4476,10969.png,"Q^{3}{}_{3} = \alpha ^{2}X_{3}(M^{3}{}_{\mu })X_{3}(M^{3\mu })+2\alpha\beta X_{3}(M^{3}{}_{\mu })X_{3}(K^{3\mu}) +
"
4477,1097.png,"S=\int\frac{1}{2}\Phi Q_B(\Phi)+\frac{1}{3}\Phi \Phi  \Phi \ ,
"
4478,10970.png,"   \gamma^{1234}\epsilon = \gamma^{1256}\epsilon      = \gamma^{1357}\epsilon = - \epsilon ,
"
4479,10971.png,"S={1\over{2\kappa^2_2}}\int d^2x\sqrt{-\bar{g}}\left[\Phi{\cal R}_{\bar{g}}+\Phi\Lambda\right].    
"
4480,10972.png,"\epsilon_{ABCDEF} \tilde R^{AB} \wedge \tilde R^{CD} =0 .
"
4481,10973.png,"U = X^4 + X^5\ , \qquad x^\mu = \frac{X^\mu R}{U}\ ,\qquad\mbox{with}\qquad \mu = 0,1,2,3\ ,
"
4482,10974.png,"S_{en/I,e'n'/I}=iV\mbox{exp}\frac{2i\pi}{k}\left[e'(\widetilde{n}-1/2)+e(\widetilde{n'}-1/2)\right]=\ S_{en/I,e'n'/II}
"
4483,10975.png,"R^{(K)}_{uv}=\frac{1}{2}R^{(K)}_{00}=\frac{1}{2}R_{00}, 
"
4484,10976.png,"\sum_{m=1}^\infty\frac{i^m+(-i)^m}{2\,(aw)^{m+1}}=-\frac{1}{aw(1+a^2w^2)},
"
4485,10977.png,"- \lambda \, \mu^{\epsilon} {\mathcal K}_{{D}} ({\bf 0}; \kappa)= 1\;  .
"
4486,10978.png,"{1 \over \dim R} = { n!\over N^n d_R^2} \chi_R(\Omega_n^{-1}).
"
4487,10979.png,"\int_{Y_4 \times T} \frac {dF}{2 \pi} =1
"
4488,1098.png,"\log \Gamma(z) = (z - {1 \over 2}) \hbox{log} z - z + {1 \over 2} \hbox{ log\ }2 \pi + 2 \int_{0}^{\infty} {{\hbox{tan}({t \over z})} \over {e^{2 \pi t} - 1}} dt,
"
4489,10980.png,"B^\prime=-{1\over r}-{{D-d}\over{d-2}} A^\prime\pm \sqrt{{1\over r^2}+{(D-d)(D-2)\over (d-1)(d-2)^2} (A^\prime)^2 }~.
"
4490,10981.png,"\partial_\mu \omega^{\mu\nu}= M_\omega^2~\omega^\nu,~~~~~~\partial_\mu \mbox{\boldmath$\rho$}^{\mu\nu}=M_\rho^2~ \mbox{\boldmath$\rho$}^\nu
"
4491,10982.png,"M^{(\pm)}_1(k)=\sum_{\ell=1}^{4}\frac{b_{\ell}}{[1\pm ik]^{\ell}},
"
4492,10983.png,"\vec\sigma=\frac{\vec\sigma_E}{1-\left(\displaystyle\frac{\vec\sigma_E}{c}\right)^2},                                                                   
"
4493,10984.png,"E(\tau_{\small physical})^{\small physical}_{\small dielectric} ={\hbar\over(2\pi)^2} V_{\small physical} \; n^3 {12\over(c \;  \tau_{\small physical})^4}.
"
4494,10985.png,"S_{10}=\int \left(\frac{1}{4}\,\hat{R}-\frac{1}{2}\,\partial_{M}\hat{\phi}\,\partial ^{M}\hat{\phi}-\frac{1}{12}\,e^{-2\hat{\phi}}\,\hat{H}_{MNP}\,\hat{H}^{MNP}\right)\sqrt{-\hat{g}}\,d^{10}\hat{x},                           
"
4495,10986.png,"SO\left( d,2\right) \supset SO\left( d-n-1,2\right) \times SO\left(n+1\right) .
"
4496,10987.png,"S=\int d^2x d^4\theta K(\Phi,\overline{\Phi}) -\int d^2x d\theta^+d\theta^- W(\Phi) -\int d^2x  d\overline{\theta}^+d\overline{\theta}^- \overline{W}(\overline{\Phi})\quad,
"
4497,10988.png,"F_{\mu \nu }=s\left( \varepsilon _{\mu \nu \rho }A^{*\rho}+\sum_{k=1}^\infty \frac 1{\xi ^k}\mathcal{M}_{\mu \nu }^k(\Omega,A,A^{*})\right) \;,  
"
4498,10989.png,"c_{{\cal O}}^{\prime }(g)\equiv B_{i}(g)A_{ij}(g)B_{j}(g).  
"
4499,1099.png,"\exp[\frac{i} {\hbar}(px-Et)]=\exp[\frac{i} {\hbar}(p'x'-E't')]=\exp(-\frac{i} {\hbar}m_{0}c^{2}t')
"
4500,10990.png,"\tilde{T}_{i}=pr_{2}^{!} \circ ( \int_{pr_{2}^{-1}}) \circ( \otimes s_{i}^{-\frac{1}{2}(\lambda + 2\rho)(H_{i})}) \circ( pr_{1}^{\ast}\otimes pr_{1}^{\ast}).
"
4501,10991.png,"GW=-\frac{\frac{\gamma}{2 \alpha} B(0)-{\gamma\over 12}}{1-{\gamma\over 6}}
"
4502,10992.png,"ds^2_5=e^{2\beta}\left(-d\tau^2 + dy^2\right)       + e^{2\alpha}d\vec{x}^2 
"
4503,10993.png,"\chi_{L}=\frac{<p_{\psi}|M|p_{\psi}>}{<p_{\psi}|p_{\psi}>}=\frac{<\psi|M|\psi>+\epsilon^{2}<p_{\psi}^{1}|M|p_{\psi}^{1}>+\epsilon^{4}<p_{\psi}^{2}|M|p_{\psi}^{2}>}{<\psi|\psi>+\epsilon^{2}<p_{\psi}^{1}|p_{\psi}^{1}>+\epsilon^{4}<p_{\psi}^{2}|p_{\psi}^{2}>}.
"
4504,10994.png,"\phi^2(x) = \frac{1}{2}a^2[1-\tanh(\lambda a^2 x)] ~,
"
4505,10995.png,"T_{lat}\odot rot\subset sym\quad .
"
4506,10996.png,"c_{2}(V^{1})-\frac{1}{2}c_{2}(TX)=-(10S+5(r+3){\cal{E}})\sigma-96F.
"
4507,10997.png,"\Xi_{1}(\kappa)=\lim_{N\to\infty} \mu_{1,N}^{11}(\kappa)=\lim_{N\to\infty}\left[\frac{\sinh\frac{\pi\kappa}{2}}{\sinh\frac{\pi N\kappa}{4}}\,e^{\frac{\pi N\kappa}{4}}-e^{\frac{\pi\kappa}{2}}\right]=-e^{-\frac{\pi|\kappa|}{2}}.
"
4508,10998.png,"\check{R}(u)=1+\frac{\sin u}{\sin(\gamma-u)}e\;,
"
4509,10999.png,"Z_c(j_k,\Upsilon _k) = \Gamma(\varphi^{cl}_k, \Upsilon_k) + \int dx\:  \varphi^{cl}_k j_k
"
4510,11.png,"\rho  \rightarrow  \rho / f'.
"
4511,110.png,"d\tilde s_8^2 = \tilde g_{\alpha \beta} dx^\alpha dx^\beta = H_5^{-1}g_{\alpha \beta} dx^\alpha dx^\beta = dx^2 + H_5^{-1} dy^2.
"
4512,1100.png,"\hat{{\delta }}_{i}=\partial _{i}-(w_{i}+\zeta _{i})\partial_{4}+n_{i}\partial _{5},\hat{{\partial }}_{5}=\partial _{5}-\zeta_{5}\partial _{4}.  
"
4513,11000.png,"m_{closed}^2\,=\,(4n-2)/{\alpha'}\,\,\,\,\,\,,\,\,\,\,\,\,m_{open}^2\,=\,m/{\alpha'}
"
4514,11002.png,"4(3, \bar{3}, 1) + (\bar{3}, 3, 1) + 3(\bar{3}, 1, 3) + 10(1, 3, \bar{3}) + 7(1, \bar{3}, 3)
"
4515,11003.png,"\begin{array}{ccccccccccccccccc}1&&&&28&&&&35&&&&&&&&\\\end{array}
"
4516,11004.png,"\tilde{g_{i}} =  \frac{\alpha g_{i} + \beta }{\pm \overline{\beta}g_{i} + \overline{\alpha}},~~~\alpha\overline{\alpha} \mp +  \beta \overline{\beta},~~i=1, 2,
"
4517,11005.png,"s^{2}(\alpha,\beta)=-P\ln\frac{\lambda(\alpha,\bar{\beta})\lambda(\beta,\bar{\alpha})}{\lambda(\alpha,\bar{\alpha})\lambda(\beta,\bar{\beta})},
"
4518,11006.png,"\gamma_i (s)-p_i=(r_i\cos{\frac{s}{r_i}},r_i\sin{\frac{s}{r_i}},0).
"
4519,11007.png,"{\cal L}(a,B) = -\frac{1}{2}\frac{B^2}{\mu(am)} \; ,
"
4520,11008.png,"N^i = u^2 N^{i(0)} + u N^{i(2)} \left[ \psi^2 \right]   +  N^{i(4)} \left[ \psi^4 \right]
"
4521,1101.png,"\partial _\nu \psi _\mu -\partial _\mu \psi _\nu -e_{\mu \nu \alpha \beta}\partial _\alpha \widetilde{\psi }_\beta +m_2\psi _{[\mu \nu ]}=0,
"
4522,11010.png,"{^\ast} F_{\mu\nu}=\frac{1}{2}\epsilon_{\mu\nu\rho\sigma}F^{\rho\sigma},
"
4523,11011.png,"  \alpha = - \hat{\gamma}^{\xi_A}_s \hat{\xi}_A + \bar{\gamma}^{\xi_A}_s \xi_A +                \xi_A \partial_{\xi_A} \hat{\xi}_A = x \xi_A + {\cal O} (\hbar )
"
4524,11012.png,"f_{ii_1\dots i_{2m-3},q}+f_{qi_1\dots i_{2m-3},i}=0\quad .                                                                                    
"
4525,11013.png,"R_{ij}^{(\ell)}(\Lambda_1,\dots,\Lambda_i,\dots,\Lambda_j,\dots,\Lambda_{N})=\left\{\begin{array}{ll}(\Lambda_1,\dots,\Lambda_i-\ell,\dots,\Lambda_j+\ell,\dots,\Lambda_{N}) &{\rm{if }} \, \, \Lambda_i > \Lambda_j\,, \cr(\Lambda_1,\dots,\Lambda_i+\ell,\dots,\Lambda_j-\ell,\dots,\Lambda_{N}) &{\rm{if }} \, \, \Lambda_j > \Lambda_i\,.\end{array}\right.
"
4526,11014.png,"I^{\;\; 2}_2=4(u^2-\Lambda^4),
"
4527,11015.png,"\sqrt{-h}e^{-2\varphi}h^{\bar{\mu}\bar{\mu}^{\prime}}h^{\bar{\nu}\bar{\nu}^{\prime}}(ML)_{ij}{\cal F}^j_{\bar{\mu}^{\prime}\bar{\nu}^{\prime}} =\epsilon^{\bar{\mu}\bar{\nu}\bar{\rho}}\partial_{\bar{\rho}}\psi^{i}, 
"
4528,11016.png,"G^{11}=G^{22}=\frac{1}{\epsilon(1+b^{2})}~.
"
4529,11017.png,"\sigma({\bf t},\lambda):=\exp(\sum_{n\geq0}t_{2n+1}\lambda^nJ(\lambda)),
"
4530,11018.png,"\Psi_{\bf C} \rightarrow\left(\begin{array}{cc} 0 & \mbox{{\bf 1}}_{2 \times 2} \\ \mbox{{\bf 1}}_{2 \times 2} & 0\end{array}\right)\cdot\Psi_{\bf C},
"
4531,11019.png,"\begin{array}{l} {[}U_{a} , U^{b}{]} = S_{a}^{b} \in g^{0}  \\ {[}U_{a} , U_{b}{]} = K_{ab} \in g^{+2}               \\ {[}U^{a} , U^{b}{]} = K^{ab} \in g^{-2}             \\ {[}S_{a}^{b} , U_{c}{]} = U_{(abc)} \in g^{+1} \end{array}
"
4532,1102.png,"\frac{1}{\beta}\int_0^{\beta}d\tau_1\cdots\int_0^{\beta}d\tau_n\,\langle\eta^{k_1}(\tau_1)\cdots\eta^{k_n}(\tau_n)\rangle_{0,c}\propto\beta^{n-1+(k_1+\cdots+k_n)/2}.
"
4533,11020.png,"\{ H(\xi),H(\eta)\} \approx H([\xi,\eta]),
"
4534,11021.png,"\eta^i = \zeta (L^i +  t  \epsilon^{ijk} \Omega_j L_k)\ \ ,
"
4535,11022.png,"G^a = \frac{\kappa}{2}\epsilon^{ij}F_{ij}^a + J_0^a.
"
4536,11023.png,"\tilde{I}_n=-p^{2n} \frac{M}{4 \pi} \left(ip + \frac{\mu}{\pi} - \frac{1}{\pi}\log\left(\frac{\mu + 2 p}{\mu - 2 p}\right)\right),
"
4537,11024.png,"\Lambda(i) = \int_{\Gamma(i)} dx\cdot A(x)
"
4538,11025.png,"\widetilde{S} = {1\over\sqrt{3}}\pmatrix{1&1&1\cr1&\omega&\omega^2\cr 1&\omega^2&\omega}
"
4539,11026.png,"2{\cal N}=\xi ^{2}-\partial _{\xi }^{2}-1\;,  
"
4540,11027.png,"\nabla_{\mu} (e^{-b \psi } H^{\mu \nu}) = 0,  
"
4541,11028.png,"Z^{\alpha} = (\omega^{A},\ \pi_{A^\prime}),\qquad \qquad{\bar  Z}_{\alpha} = ( {\bar  \pi_{A}},\ {\bar\omega}^{A^\prime}).
"
4542,11029.png,"\zeta^{(p)}_0(\nu)={1 \over \pi \Gamma(\nu)}\int_0^\infty dx \int_0^1 dt ~t^{\nu-1}e^{-tx^2}{1 \over (4\pi t)^{(D-1)/2}}\sum_{n=0}^\infty \breve{a}_n(x)t^n.
"
4543,1103.png,"\chi = \left [ \matrix{\tau^{-1} & -\tau^{-1}\omega^{T} \cr-\tau^{-1}\omega & \breve{\lambda} + \tau^{-1} \omega \omega^{T}}\right ]
"
4544,11030.png,"\langle  \zeta' |p_{\mu}|  \zeta'' \rangle=-i\hbar\frac{\partial }{\partial \eta''{}^{\mu}}\langle  \zeta' |\zeta''\rangle+\frac{\partial F(\zeta'')}{\partial \eta''{}^{\mu}}\langle  \zeta' |\zeta''\rangle\,,
"
4545,11031.png,"\begin{array}{l}\Phi_{j}\bar{\Phi}_{i}=\delta_{ij}+qR_{kijl}\bar{\Phi}_{l}\Phi_{k},\\\Phi_{l}\Phi_{k}=q^{-1}R_{jikl}\Phi_{j}\Phi_{i},\qquad i,j=1,2,...,N,\end{array}
"
4546,11032.png,"\phi \rightarrow 0,\quad x^2+y^2\rightarrow \infty ;\quad \phi \rightarrow-a\log (x^2+y^2)+{\cal B}(a),\quad x^2+y^2\rightarrow 0.  
"
4547,11033.png,"\left[a_{ij}(p^+ ),a^\dagger_{lk}(q^+)\right]=\left\{ b_{ij}(p^+ ),b^\dagger_{lk}(q^+)\right\}=\delta (p^+ -q^+)\delta_{il}\delta_{jk}
"
4548,11034.png,"R^{i}_{j} = \zeta\delta^{i}_{j} \ \ ,
"
4549,11035.png,"\Phi_0 ={\rm diag}\, (e_1 , e_2, \ldots , e_N) \, ,
"
4550,11036.png,"g_{ab} = \overline{f}^{c}{}_{ad} \overline{f}^{d}{}_{bc},
"
4551,11037.png,"x = \int_{U_0}^{U} d U \sqrt{\frac{G_1(U) G_2(U_0)}{G_2(U) [G_2(U) - G_2(U_0)]}}
"
4552,11038.png,"\rho_0\not=0 \quad\rightarrow \quad[Q_0,\theta_0^a]=i\delta\theta^a_0\not=0\quad \rightarrow\quad Q_0\not=0
"
4553,11039.png,"p'^{(I)}_1=\frac{1}{2}(2k-m_0),~~p'^{(I)}_2=-1+\frac{1}{2}(2k+m_0).
"
4554,1104.png,"e_j-e_k,\qquad (j<k), \qquad e_j+e_k, \qquad 2e_j.    
"
4555,11040.png,"\partial_\mu\,Z_\nu - \partial_\nu\,Z_\mu \;=\; 0~,~~{\rm  or~}~d\,Z\;=\;0~. 
"
4556,11042.png," H(q,p)~=~{\textstyle {1 \over 2}} \, \sum_{k=1}^n \, p_k^2 \, + \,          \mbox{\sl g}^2 \! \sum_{1 \leq k \neq l \leq n} \!          V(q_k - q_l)~,
"
